Tabelle: 22421-0001
Pflegebedürftige: Deutschland, Stichtag, Geschlecht,;;;;;;;;;;;;;;;
Altersgruppen, Art der Versorgung von Pflegebedürftigen;;;;;;;;;;;;;;;
Statistik über d. Empfänger v.Pflegegeldleistungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pflegebedürftige (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;
;;;31.12.1999;;31.12.2001;;31.12.2003;;31.12.2005;;31.12.2007;;31.12.2009;;31.12.2011;;31.12.2013;;31.12.2015;;31.12.2017;;31.12.2019;;31.12.2021;;31.12.2023;
;;35 bis unter 40 Jahre;21197;e;20634;e;19325;e;17826;e;16213;e;13952;e;13562;e;14200;e;15801;e;20821;e;25515;e;29022;e;34574;e
;;40 bis unter 45 Jahre;18916;e;20227;e;21184;e;21099;e;20809;e;19369;e;18670;e;17605;e;17364;e;21828;e;26307;e;31878;e;38381;e
;;45 bis unter 50 Jahre;19429;e;19509;e;19806;e;21369;e;23382;e;24206;e;25337;e;25619;e;25969;e;31377;e;34447;e;38157;e;45756;e
;;50 bis unter 55 Jahre;20806;e;23050;e;24043;e;23856;e;25166;e;26371;e;30385;e;33531;e;36702;e;47828;e;55118;e;62797;e;70527;e
;;55 bis unter 60 Jahre;36065;e;29289;e;28179;e;30211;e;33179;e;34518;e;37017;e;40116;e;45489;e;62882;e;78872;e;96202;e;117233;e
;;60 bis unter 65 Jahre;57442;e;56524;e;52070;e;44017;e;41118;e;41924;e;51064;e;56129;e;60120;e;77665;e;95924;e;123694;e;161905;e
;;65 bis unter 70 Jahre;72275;e;72682;e;76400;e;77272;e;77007;e;71771;e;65345;e;67953;e;79414;e;105712;e;127235;e;154856;e;195364;e
;;70 bis unter 75 Jahre;102289;e;100765;e;96411;e;97718;e;106660;e;115979;e;126921;e;124639;e;116304;e;131060;e;155632;e;210742;e;267938;e
;;75 bis unter 80 Jahre;142952;e;134078;e;133982;e;135870;e;142163;e;143569;e;163491;e;185260;e;210128;e;256298;e;274505;e;273323;e;325139;e
;;80 bis unter 85 Jahre;119810;e;140683;e;169273;e;168749;e;174980;e;186216;e;209715;e;210789;e;240154;e;325015;e;414143;e;509982;e;577318;e
;;85 bis unter 90 Jahre;172480;e;144387;e;108290;e;113292;e;152992;e;170796;e;189710;e;199272;e;231301;e;284002;e;330850;e;425254;e;571296;e
;;90 bis unter 95 Jahre;85266;e;85927;e;86644;e;80489;e;65768;e;59707;e;89989;e;105042;e;120485;e;147975;e;177266;e;208659;e;232307;e
;;95 Jahre und mehr;17877;e;19313;e;20584;e;22994;e;25654;e;27039;e;23732;e;18621;e;25909;e;35699;e;42088;e;50715;e;57333;e
;;Insgesamt;1027591;e;1000736;e;986520;e;980425;e;1033286;e;1065564;e;1182057;e;1245929;e;1384604;e;1764904;e;2116451;e;2553921;e;3103007;e
Versorgung zu Hause mit/durch ambul. Pflegedienste;männlich;unter 5 Jahre;277;e;279;e;243;e;252;e;293;e;371;e;268;e;309;e;398;e;643;e;976;e;911;e;749;e
;;5 bis unter 10 Jahre;500;e;481;e;553;e;661;e;651;e;683;e;618;e;747;e;853;e;1157;e;1749;e;1714;e;1905;e
;;10 bis unter 15 Jahre;495;e;578;e;655;e;720;e;725;e;796;e;601;e;780;e;924;e;1297;e;1848;e;1801;e;2121;e
;;15 bis unter 20 Jahre;459;e;484;e;539;e;615;e;719;e;712;e;571;e;671;e;786;e;964;e;1260;e;1360;e;1693;e
;;20 bis unter 25 Jahre;407;e;479;e;573;e;586;e;675;e;709;e;701;e;797;e;811;e;1028;e;1279;e;1271;e;1250;e
;;25 bis unter 30 Jahre;531;e;499;e;460;e;584;e;700;e;833;e;796;e;864;e;1064;e;1397;e;1520;e;1446;e;1536;e
;;30 bis unter 35 Jahre;834;e;758;e;713;e;642;e;661;e;762;e;836;e;971;e;1190;e;1591;e;1839;e;1972;e;1968;e
;;35 bis unter 40 Jahre;1076;e;1134;e;1088;e;1087;e;1069;e;1001;e;912;e;945;e;1163;e;1775;e;2268;e;2312;e;2462;e
;;40 bis unter 45 Jahre;1258;e;1405;e;1604;e;1706;e;1773;e;1832;e;1697;e;1580;e;1599;e;2048;e;2469;e;2807;e;3048;e
;;45 bis unter 50 Jahre;1658;e;1934;e;2082;e;2267;e;2553;e;2857;e;2870;e;2938;e;3055;e;3900;e;3858;e;3718;e;3740;e
;;50 bis unter 55 Jahre;1929;e;2462;e;2790;e;3039;e;3372;e;3923;e;4215;e;4697;e;5256;e;7155;e;7608;e;7213;e;6585;e
;;55 bis unter 60 Jahre;3652;e;3164;e;3251;e;3919;e;4746;e;5353;e;5739;e;6273;e;7362;e;10605;e;12645;e;12871;e;12533;e
;;60 bis unter 65 Jahre;6207;e;6717;e;6776;e;6125;e;5944;e;6514;e;7599;e;8839;e;10199;e;13808;e;16271;e;18221;e;19292;e
;;65 bis unter 70 Jahre;8740;e;9747;e;11024;e;12126;e;12835;e;12606;e;10493;e;10670;e;13048;e;17865;e;21690;e;23204;e;24721;e
;;70 bis unter 75 Jahre;14260;e;15479;e;15581;e;16839;e;19311;e;22239;e;22639;e;22043;e;20518;e;21932;e;25082;e;29646;e;32533;e
